symbol,GSM1308942_BMGMdbdb.TMM.data.txt.gz,GSM1308941_BMGMdb.TMM.data.txt.gz,GSM1308940_BMMCdbdb.TMM.data.txt.gz,GSM1308939_BMMCdb.TMM.data.txt.gz
Csad,73.2,65.1,870.5,819.9
Csda,1329.7,1205.7,1091.8,782.8
Csdc2,4.3,2.3,7.8,20.9
Csde1,14965.4,14775.6,12172.7,11521.4
Cse1l,2162.4,2090.6,2420.6,1894.7
Csf1,3134.9,3070.9,6064.6,2485.4
Csf1r,33103.3,33549.6,105159.2,120626.6
Csf2,0.0,0.0,0.0,3.8
Csf2ra,9425.1,8743.8,3022.7,4374.4
Csf2rb,41580.6,42045.6,5638.5,6447.9
Csf2rb2,21717.1,21197.8,2850.2,3109.3
Csf3,0.0,0.0,0.0,1.9
Csf3r,473.4,513.7,3570.8,3900.7
Csgalnact1,5.4,1.1,52.3,32.3
Csgalnact2,2212.9,2123.1,2253.3,1874.7
Csk,977.9,1039.7,1865.5,2355.1
Csl,945.6,932.0,551.6,595.4
Csmd1,0.0,2.3,88.9,59.0
Csmd3,0.0,2.3,7.0,12.4
Csn1s1,0.0,0.0,0.0,0.0
Csn1s2a,0.0,0.0,0.0,0.9
Csn1s2b,0.0,0.0,0.0,0.0
Csn2,3.2,4.5,0.9,0.0
Csn3,0.0,0.0,0.9,0.9
Csnk1a1,3933.1,4016.4,4874.3,3824.6
Csnk1d,3939.6,3895.2,4142.4,4330.6
Csnk1e,1221.0,1230.4,1297.4,1461.0
Csnk1g1,2371.1,2317.2,1822.8,1628.4
Csnk1g2,2916.5,3012.6,2261.1,2610.0
Csnk1g3,1359.8,1202.3,1389.8,1269.8
Csnk2a1,3387.7,3349.0,2846.7,2433.1
Csnk2a2,377.6,393.7,418.2,380.5
Csnk2b,1271.6,1316.7,1187.6,1172.8
Csnka2ip,0.0,0.0,0.0,0.0
Cspg4,2.2,4.5,217.8,97.0
Cspg5,5.4,9.0,7.0,16.2
Cspp1,484.1,444.2,441.8,487.0
Csprs,32.3,22.4,35.7,78.9
Csrnp1,521.8,552.9,323.3,284.4
Csrnp2,360.4,290.5,273.6,239.7
Csrnp3,4.3,6.7,1.7,17.1
Csrp1,3078.9,3314.3,2853.6,2388.3
Csrp2,76.4,102.1,602.1,283.4
Csrp2bp,1733.1,1624.0,1395.9,1299.3
Csrp3,0.0,0.0,0.9,1.9
Cst10,0.0,0.0,0.0,1.9
Cst11,0.0,2.3,0.9,0.0
Cst12,0.0,1.1,0.0,1.9
Cst13,0.0,0.0,0.0,0.0
Cst3,24002.1,23523.9,22772.6,29593.3
Cst6,21.5,13.5,7.8,3.8
Cst7,88.2,53.8,47.0,61.8
Cst8,0.0,0.0,0.0,1.9
Cst9,0.0,0.0,0.0,0.0
Csta,0.0,2.3,4.3,0.0
Cstad,0.0,0.0,8.7,12.4
Cstb,13366.8,12932.9,3982.9,4277.3
Cstf1,684.2,701.0,772.9,833.2
Cstf2,799.3,775.0,848.7,751.4
Cstf2t,1804.1,1766.5,2163.5,2160.1
Cstf3,814.4,930.9,881.8,722.9
Cstl1,0.0,0.0,1.7,0.9
Ctag2,0.0,0.0,0.0,0.0
Ctage5,3173.6,3112.4,3427.0,3355.7
Ctbp1,4320.4,4670.2,3571.6,4156.5
Ctbp2,2753.0,2726.6,2072.9,2135.3
Ctbs,433.6,472.2,501.9,387.1
Ctcf,1216.7,1230.4,1403.7,1329.7
Ctcfl,0.0,0.0,1.7,2.8
Ctdnep1,3039.1,2918.3,1973.6,2084.9
Ctdp1,1097.3,1043.1,1136.2,1173.7
Ctdsp1,3094.0,3075.4,4279.2,5095.3
Ctdsp2,3216.6,3346.8,4948.4,5086.8
Ctdspl,471.2,450.9,379.0,303.4
Ctdspl2,1033.8,934.3,999.4,986.3
Ctf1,3.2,0.0,1.7,5.7
Ctf2,0.0,0.0,0.0,0.0
Ctgf,4.3,5.6,13537.2,5093.4
Cth,21.5,37.0,32.2,17.1
Cthrc1,2.2,0.0,130.7,37.1
Ctif,259.3,287.1,452.2,429.9
Ctla2a,46.3,24.7,923.6,816.1
Ctla2b,172.1,187.3,3644.8,3297.7
Ctla4,0.0,0.0,0.0,0.0
Ctnna1,2820.7,3046.2,3477.5,3268.2
Ctnna2,0.0,1.1,0.0,1.9
Ctnna3,0.0,0.0,0.9,4.8
Ctnnal1,21.5,32.5,40.1,25.7
Ctnnb1,5642.6,6207.9,1645.1,1409.6
Ctnnbip1,606.8,530.5,521.1,469.9
Ctnnbl1,853.1,788.5,940.2,1049.1
Ctnnd1,7846.9,8026.0,11832.9,10139.3
Ctnnd2,3.2,6.7,108.9,196.9
Ctns,2954.1,2825.3,1787.1,1977.4
Ctps,89.3,69.5,454.8,192.1
Ctps2,1713.7,1893.2,1707.8,1519.9
Ctr9,1583.6,1560.1,1759.2,1700.7
Ctrb1,0.0,0.0,0.0,6.7
Ctrc,0.0,2.3,0.0,0.9
Ctrl,18.3,21.3,12.2,12.4
Cts3,0.0,0.0,0.0,2.8
Cts6,0.0,0.0,0.0,0.9
Cts7,0.0,2.3,0.0,0.9
Cts8,0.0,0.0,0.0,1.9
Cts8-ps,0.0,0.0,3.5,1.9
Ctsa,50204.2,48404.9,29599.6,31447.1
Ctsb,426616.5,418120.5,251218.5,269265.7
Ctsc,7924.3,8020.4,11631.6,11508.0
Ctsd,770734.6,763005.5,150673.1,165680.0
Ctse,315.2,279.3,217.0,248.2
